,proteins
20957,TCF25_HUMAN
20958,LSHR_RAT
20959,DLL3_MOUSE
20960,XLG2_ARATH
20961,PDE6A_HUMAN
20962,GLK1_ARATH
20963,SWC3_YEAST
20964,GCYB1_HUMAN
20965,OR1L6_HUMAN
20966,SERB_RAT
20967,ENPP6_MOUSE
20968,RBX1_SCHPO
20969,HAP2_SCHPO
20970,PSBA_ORYNI
20971,LTOR2_DROME
20972,GPSM1_RAT
20973,SH21A_MOUSE
20974,RT31_BOVIN
20975,PDCB3_ARATH
20976,RPAC2_DROME
20977,IBP4_MOUSE
20978,DHQS_ACTCH
20979,S27A2_MOUSE
20980,LIN9_DANRE
20981,HRR25_YEAST
20982,RMND1_HUMAN
20983,PTPS_CAEEL
20984,TCPZ_MOUSE
20985,NR2F5_DANRE
20986,ITPK1_MOUSE
20987,PIT1_RAT
20988,SPEB1_SCHPO
20989,UBC2_CAEEL
20990,DRG2_HUMAN
20991,KCJ11_HUMAN
20992,TISB_ECOLI
20993,SGRW_PEA
20994,CALU_RAT
20995,CXG1_RAT
20996,LKHA4_HUMAN
20997,MYB24_ARATH
20998,SAP18_ARATH
20999,MYOG_CHICK
21000,DDH2_SCHPO
21001,FOXC1_MOUSE
21002,RS29A_YEAST
21003,TSSC1_CAEEL
21004,IF4B1_ARATH
21005,BAC2_ARATH
21006,HAT31_ARATH
21007,CCG7_HUMAN
21008,FABG_YEAST
21009,GTR10_MOUSE
21010,STX12_HUMAN
21011,CBHB_EMENI
21012,CTNA1_HUMAN
21013,IAA1_ARATH
21014,FURIN_MOUSE
21015,U17PA_MOUSE
21016,IFN16_HUMAN
21017,Y2004_MYCTU
21018,LYS4O_FLAJ1
21019,NAC22_ARATH
21020,NFAC4_MOUSE
21021,NS1_I34A1
21022,ZGPAT_HUMAN
21023,SL9A2_HUMAN
21024,MTL1_YEAST
21025,BYST_MOUSE
21026,OASD_COMTE
21027,TBA4A_HUMAN
21028,AIG2A_ARATH
21029,ZC3HE_HUMAN
21030,RPE_YEAST
21031,HEYL_HUMAN
21032,PSB3_SCHPO
21033,TAF5_HUMAN
21034,FIBG_HUMAN
21035,APOH_MOUSE
21036,ELOF1_SCHPO
21037,MOCS1_MOUSE
21038,SFH3_ARATH
21039,VA714_ARATH
21040,TNG2_MOUSE
21041,CU067_HUMAN
21042,FPGS3_ARATH
21043,TBA3_MOUSE
21044,RTF1_YEAST
21045,YJIY_ECOLI
21046,YHCH_ECOLI
21047,FUT3_HUMAN
21048,C7346_ORYSJ
21049,HXA7_HUMAN
21050,TRES_MYCS2
21051,CYBP_RAT
21052,PPR1A_HUMAN
21053,PUB43_ARATH
21054,CIA30_HUMAN
21055,APOL1_HUMAN
21056,GL22_ARATH
21057,PUR7_SCHPO
21058,TSHB_HUMAN
21059,KI20A_HUMAN
21060,CML13_ARATH
21061,MOGT3_HUMAN
21062,FCG3A_HUMAN
21063,SUN1_HUMAN
21064,DHSO_RAT
21065,MDFIC_MOUSE
21066,TA2R7_RAT
21067,A85A_MYCTU
21068,WNT3A_XENLA
21069,A3LT2_MOUSE
21070,LEU1_YEAST
21071,GALT6_HUMAN
21072,PAPS1_MOUSE
21073,PROF2_RAT
21074,SHLB1_HUMAN
21075,PER59_ARATH
21076,YIPF1_HUMAN
21077,CR3L4_HUMAN
21078,FA98A_HUMAN
21079,SIX1_HUMAN
21080,PEK12_ARATH
21081,ASIC4_HUMAN
21082,HNRPQ_RAT
21083,TAF10_MOUSE
21084,KLF12_HUMAN
21085,MARC1_HUMAN
21086,3NBA_BOIIR
21087,NU4C_ORYSA
21088,FTSH_ECOLI
21089,ZN655_HUMAN
21090,ACYLT_MYCTU
21091,FA20A_MOUSE
21092,MTG1_HUMAN
21093,GLIZ_ASPFU
21094,ODPA_SCHPO
21095,QCR9_DROME
21096,REL1_RAT
21097,IER2_HUMAN
21098,CNBLA_ARATH
21099,PAPA1_CARPA
21100,RL31A_YEAST
21101,T53I2_HUMAN
21102,PPD_ARATH
21103,LMOD1_HUMAN
21104,OR6S1_HUMAN
21105,MMR_MYCTU
21106,TPC1_YEAST
21107,PECA1_HUMAN
21108,LAG13_ARATH
21109,PLA17_ARATH
21110,COPZ1_BOVIN
21111,OXSR1_MOUSE
21112,FGOP2_MOUSE
21113,MES18_ARATH
21114,OLIG2_CHICK
21115,AGR2_HUMAN
21116,EGR2_HUMAN
21117,RHD32_ARATH
21118,PAL1_SCHPO
21119,SPAST_DANRE
21120,MOPB_RHOCA
21121,R27A2_ARATH
21122,STTH_STRA9
21123,YSL7_ARATH
21124,ZAPB_ECOLI
21125,PETN_ORYSJ
21126,FERM1_HUMAN
21127,IMPA2_HUMAN
21128,HSFX1_HUMAN
21129,CIA2_ARATH
21130,ICP0_HHV11
21131,UGDH_HUMAN
21132,ACKR3_RAT
21133,COF1_PIG
21134,CCD22_HUMAN
21135,CDK1_CAEEL
21136,OR2L8_HUMAN
21137,NEUG_MOUSE
21138,NIPA_HUMAN
21139,TIMP2_RAT
21140,KA111_PARVI
21141,THIK2_ARATH
21142,NET3_MOUSE
21143,MCP2_ECOLI
21144,TSN_HUMAN
21145,PKH1_YEAST
21146,MREC_GEOSE
21147,SRSF2_MOUSE
21148,TY3H_RAT
21149,MHCKB_DICDI
21150,PR5_ARATH
21151,PER17_ARATH
21152,STAD2_OPHSP
21153,AWAT2_MOUSE
21154,P2R3C_HUMAN
21155,ISL2_MOUSE
21156,METQ_ECOLI
21157,AP2C_HUMAN
21158,PPR1C_HUMAN
21159,O14K1_HUMAN
21160,ATF6A_RAT
21161,ACPM_YEAST
21162,CP39A_HUMAN
21163,EC14_ARATH
21164,PGK1_RAT
21165,NGLY1_HUMAN
21166,RHO3_SCHPO
21167,NEP1_YEAST
21168,POT13_ARATH
21169,BRK12_ASCTR
21170,BAT2_PARRH
21171,ARREH_SHIFL
21172,LYSC2_ONCMY
21173,ING2_ARATH
21174,FOXO1_MOUSE
21175,INX7_DROME
21176,EML2_ARATH
21177,FCHO1_HUMAN
21178,FABP9_HUMAN
21179,CNTFR_RAT
21180,S100B_BOVIN
21181,GNA13_RAT
21182,GLO4_ARATH
21183,PDCB2_ARATH
21184,ERP29_MOUSE
21185,LMA2L_HUMAN
21186,FIS1_HUMAN
21187,PUM7_ARATH
21188,RL402_YEAST
21189,AGUA_GEOSE
21190,DRD5_HUMAN
21191,RL11_ECOLI
21192,ATOH8_HUMAN
21193,KLF2_MOUSE
21194,VIL3_ARATH
21195,CBPN_MOUSE
21196,PYGM_RAT
21197,PROP1_MOUSE
21198,LEXA_PSEAE
21199,LEG1_HUMAN
21200,H3L2_ARATH
21201,UREF_ORYSI
21202,WDR12_DROME
21203,STC_ONCNE
21204,YTFP_ECOLI
21205,HIBC7_ARATH
21206,PRD14_HUMAN
21207,MCP_HUMAN
21208,FAN_HUMAN
21209,KATG_ASPNC
21210,AAKG_SCHPO
21211,SCE3_YEAST
21212,YGDQ_ECOLI
21213,CML2_ARATH
21214,GYRB_MYCBP
21215,DYL1_SCHPO
21216,CPT1B_MOUSE
21217,G3PC1_ARATH
21218,ANM7_MOUSE
21219,HSF_DROME
21220,MDL1_YEAST
21221,MBP_HUMAN
21222,IGF2A_XENLA
21223,AAE11_ARATH
21224,RL16_ECOLI
21225,COS8_YEAST
21226,DHSO1_YEAST
21227,BGL18_ARATH
21228,RT63_MOUSE
21229,YNFF_ECOLI
21230,KIFC1_CRIGR
21231,ADRM1_HUMAN
21232,C11B2_MOUSE
21233,PODO_HUMAN
21234,NDUB8_BOVIN
21235,B3GTD_ARATH
21236,FOLE_SCHPO
21237,ORK1_DROME
21238,PIMT2_ARATH
21239,SAMC_HUMAN
21240,HSP7F_ARATH
21241,MYD88_HUMAN
21242,FABP6_MOUSE
21243,MRGA4_MOUSE
21244,RL82_ARATH
21245,PDF1_ARATH
21246,IF4E_XENLA
21247,HS90A_HUMAN
21248,RM35_DROME
21249,IFB2_CAEEL
21250,RT33_BOVIN
21251,GCNT3_HUMAN
21252,GPC5_MOUSE
21253,SUMO3_MOUSE
21254,HMGC2_HUMAN
21255,PP425_ARATH
21256,SPAT7_RAT
21257,CLCA_MOUSE
21258,PROF1_DICDI
21259,IKZF1_HUMAN
21260,ANXA3_HUMAN
21261,CKX5_ORYSJ
21262,H15_DROME
21263,WRK63_ARATH
21264,CBG29_UNIPI
21265,MMAC_HUMAN
21266,ODC2_YEAST
21267,OXA12_SCHPO
21268,C560_HUMAN
21269,YLY5_SCHPO
21270,RGAA_DICDI
21271,RENBP_MOUSE
21272,MMP9_HUMAN
21273,PAQR3_HUMAN
21274,DAL4_YEAST
21275,LV319_HUMAN
21276,ARF2B_ARATH
21277,TSN9_HUMAN
21278,ALF1_CAEEL
21279,CADM3_HUMAN
21280,STAP2_HUMAN
21281,NU1M_BOVIN
21282,ATG1_ASPOR
21283,HXB8_MOUSE
21284,SULF2_HUMAN
21285,LYAG_RAT
21286,TRB2_ARATH
21287,DLDH_DICDI
21288,VPP1_RAT
21289,TRF_DROME
21290,WTM2_YEAST
21291,TCP9_ARATH
21292,KNOS6_ORYSJ
21293,GHC1_HUMAN
21294,NMA2_YEAST
21295,Z36L3_MOUSE
21296,TTLL3_DANRE
21297,JMY_HUMAN
21298,NK3R_CAVPO
21299,MIF_MOUSE
21300,ECE1_RAT
21301,PURE_MYCTU
21302,SIR_PEA
21303,PILIN_MYCTU
21304,RBOHB_ARATH
21305,FANCL_MOUSE
21306,E136_ARATH
21307,TYRP2_HUMAN
21308,MTAP_YEAST
21309,VATD_CAEEL
21310,CYTB_MOUSE
21311,CK5P3_MOUSE
21312,MTPN_RAT
21313,DAD1_ARAVE
21314,EF107_ARATH
21315,RBBP4_DANRE
21316,NR1D2_MOUSE
21317,CKX5_ARATH
21318,LRRN3_RAT
21319,NAA25_RAT
21320,RO60_HUMAN
21321,SMN1_DANRE
21322,KN7A_TOBAC
21323,PMTP_ARATH
21324,MSP1_SCHPO
21325,OST48_CANLF
21326,RANG_MOUSE
21327,Y1319_MYCTU
21328,ACNB_SALTY
21329,SPDEF_MOUSE
21330,RM41_HUMAN
21331,YFFL_SCHPO
21332,IL25_HUMAN
21333,ECNA_ECOLI
21334,E2FD_ARATH
21335,UPS5_ARATH
21336,CALRL_HUMAN
21337,FBRL_HUMAN
21338,GAL4_YEAST
21339,H2A2_YEAST
21340,SC6A7_HUMAN
21341,ADT4_ARATH
21342,GSTUN_ARATH
21343,RL5_DROME
21344,TPH2_RAT
21345,DIM1_DROME
21346,RAB2A_RAT
21347,RECA_ECOLI
21348,CXAR_DANRE
21349,ASGL1_HUMAN
21350,GPT11_HUMAN
21351,SERPH_MOUSE
21352,5NTD_MOUSE
21353,CLVS2_RAT
21354,HMA2_ARATH
21355,TLR6_MOUSE
21356,NPS3A_HUMAN
21357,SCRT2_MOUSE
21358,SOT18_ARATH
21359,CPT1A_RAT
21360,ERG1_YEAST
21361,VAMP2_MOUSE
21362,PSG1_HUMAN
21363,PRDX1_RAT
21364,MOGT1_MOUSE
21365,SPZ2_ARATH
21366,ATB51_ARATH
21367,ORR1_ORYSI
21368,CLIC2_HUMAN
21369,GRAN_HUMAN
21370,HIS6B_ARATH
21371,ABCB7_MOUSE
21372,PSG5_HUMAN
21373,C5210_DROME
21374,ARPC3_SCHPO
21375,CE120_MOUSE
21376,LPRG_MYCTU
21377,DLRB1_RAT
21378,TAB1_HUMAN
21379,DHE4_PRERU
21380,PSR2_YEAST
21381,ESA1_SCHPO
21382,DRE1F_ARATH
21383,GOGA2_RAT
21384,NTCP_MOUSE
21385,MOC2B_MOUSE
21386,ZN496_MOUSE
21387,EBFC1_ARATH
21388,RPB6B_ARATH
21389,RAX3_ARATH
21390,RR14_ORYNI
21391,HEPS_MOUSE
21392,B9D2_HUMAN
21393,SOX3_CHICK
21394,1C18_HUMAN
21395,ACSA_HUMAN
21396,VPP2_MOUSE
21397,ARC_MYCTU
21398,UB2D1_HUMAN
21399,HEI10_ARATH
21400,RNAS6_HUMAN
21401,ARLY1_ANAPL
21402,PE2R1_RAT
21403,STRP1_DANRE
21404,EXOS6_MOUSE
21405,ORP3B_ARATH
21406,BOMB_SANVA
21407,Y5360_ARATH
21408,VATE2_MOUSE
21409,THIO_ICTPU
21410,PCDAA_MOUSE
21411,PMT1_YEAST
21412,DPYL3_RAT
21413,NDST2_MOUSE
21414,CLK3_HUMAN
21415,PDK3_HUMAN
21416,RAD51_MOUSE
21417,FTSHA_ARATH
21418,NPBW1_HUMAN
21419,TRI75_HUMAN
21420,PAB2_SCHPO
21421,NUDB_ECOLI
21422,CBP_MESMA
21423,MTR1A_CHICK
21424,CREM_HUMAN
21425,GLTD_ECOLI
21426,RH15_ARATH
21427,OPRM_HUMAN
21428,HOR7_YEAST
21429,SFRP5_BOVIN
21430,SYNPO_MOUSE
21431,TRBP2_ARATH
21432,VTC4_YEAST
21433,PKHB1_HUMAN
21434,YBAK_ECOLI
21435,PPLA_CANLF
21436,S22A7_MOUSE
21437,UNC1_CAEEL
21438,RKD4_ARATH
21439,GA45B_MOUSE
21440,WNT4A_DANRE
21441,T106B_HUMAN
21442,PTEN_MOUSE
21443,MSXC_DANRE
21444,ANGP2_HUMAN
21445,SPIT1_HUMAN
21446,LUB1_SCHPO
21447,PR3B1_MOUSE
21448,YND1_SCHPO
21449,GRAK_RAT
21450,LIPE_RAT
21451,IFNA4_MOUSE
21452,JUNO_HUMAN
21453,DDAH1_BOVIN
21454,CLH1_ARATH
21455,ATX3L_HUMAN
21456,STAT_HUMAN
21457,PHLD_MYCTU
21458,ILVC_ECOLI
21459,ALP21_SCHPO
21460,DWWA_DICDI
21461,RAC1A_DICDI
21462,CERS5_HUMAN
21463,HSP72_YEAST
21464,IMA1_HUMAN
21465,RD19A_ARATH
21466,BI52B_XENLA
21467,TPS8_PHYDL
21468,COQA1_HUMAN
21469,GAOX2_ARATH
21470,GTFB_AMYOR
21471,HSH2D_MOUSE
21472,DAPKR_DROME
21473,FAT2_YEAST
21474,LTK_MOUSE
21475,GP182_RAT
21476,ERC2_RAT
21477,RLA1_YEAST
21478,APOA4_HUMAN
21479,UFSP_CAEEL
21480,LRX5_ARATH
21481,GMT_CANGA
21482,NEUA_ONCMY
21483,GST7_CAEEL
21484,PO3F3_RAT
21485,FAAH2_HUMAN
21486,RHCG_RAT
21487,HEPB_PEDHD
21488,DEFI_RHIMP
21489,UNC50_RAT
21490,HXB9_HUMAN
21491,GRDP1_ARATH
21492,G39AC_DROME
21493,VGLU3_RAT
21494,LMO4_MOUSE
21495,CD166_MOUSE
21496,CHEW_BACSU
21497,NSMF_MOUSE
21498,CISY2_YEAST
21499,RD23A_MOUSE
21500,HIF1A_BOVIN
21501,ACDA2_METTE
21502,HBB_AYTFU
21503,LAD_PENRW
21504,RAD18_MOUSE
21505,GPSM2_HUMAN
21506,BTK_MOUSE
21507,NXPH3_MOUSE
21508,PTN12_MOUSE
21509,THTPA_MOUSE
21510,BCL3_HUMAN
21511,ARPC2_CAEEL
21512,RPFA_MYCTU
21513,CALR_DICDI
21514,SC6A1_HUMAN
21515,DIMB_DICDI
21516,ZEAM_MAIZE
21517,PLD3A_MOUSE
21518,RECDL_DEIRA
21519,CLCA2_MOUSE
21520,RALB_RAT
21521,FXD3A_XENLA
21522,RL36_ECOLI
21523,RPF2_YEAST
21524,NECT3_HUMAN
21525,PPE11_MYCTU
21526,ELOC_MOUSE
21527,EGFL7_HUMAN
21528,DBF4_YEAST
21529,S61G3_ARATH
21530,ARFRP_HUMAN
21531,ANTR1_MOUSE
21532,PAXI_HUMAN
21533,EI3D1_DROME
21534,ELL_HUMAN
21535,TEBP_RAT
21536,UD2A3_HUMAN
21537,CLR6_SCHPO
21538,PDPN_MOUSE
21539,DHA_MYCSM
21540,TMEM9_HUMAN
21541,MTND_SCHPO
21542,CCNG2_HUMAN
21543,RGF1B_HUMAN
21544,DOF21_ARATH
21545,TSN12_HUMAN
21546,MTHR_MOUSE
21547,FBLN4_MOUSE
21548,PRT31_HYDCO
21549,ARLY_HUMAN
21550,ANM2_MOUSE
21551,SGF73_YEAST
21552,DPP9_HUMAN
21553,AURKB_HUMAN
21554,CIN8_YEAST
21555,HRG_MOUSE
21556,EDEM3_MOUSE
21557,DNS2B_MOUSE
21558,FPS1_YEAST
21559,DTX1_MOUSE
21560,DAVT_PSEPK
21561,BUP1_HUMAN
21562,GAL10_YEAST
21563,FL2D_HUMAN
21564,SLIP1_DROME
21565,AP2MB_DANRE
21566,PI5L1_MOUSE
21567,MST28_YEAST
21568,DHA_MYCS2
21569,ARY1_MOUSE
21570,PHO15_ARATH
21571,RT05_HUMAN
21572,VATA2_DROME
21573,SUCC_ECOLI
21574,NOP4_YEAST
21575,HEM6_MOUSE
21576,SRRM4_MOUSE
21577,PIL1_ARATH
21578,RGS2_HUMAN
21579,DNJC5_HUMAN
21580,CCNA1_MOUSE
21581,CNPY3_MOUSE
21582,EF110_ARATH
21583,MYB48_ARATH
21584,WNT3_MOUSE
21585,CP21A_HUMAN
21586,ACON_ASPFU
21587,RM10_BOVIN
21588,APT_MOUSE
21589,SAT3_ARATH
21590,PEX14_HUMAN
21591,ACBP_SCHPO
21592,ZN345_HUMAN
21593,AAH_ORYSJ
21594,MCTP1_HUMAN
21595,RL25B_SCHPO
21596,T10B_HUMAN
21597,DTX4_HUMAN
21598,CYH4_HUMAN
21599,LIS1_CAEEL
21600,LPAR3_HUMAN
21601,OR8B4_HUMAN
21602,GPSM2_MOUSE
21603,FOXI2_RAT
21604,CAZA3_RAT
21605,PURA_MYCTU
21606,PUMP2_ARATH
21607,GYRB_MICLC
21608,LY9_MOUSE
21609,E2F1_DROME
21610,DHE3_MOUSE
21611,H2B2_CANAL
21612,U1SBP_HUMAN
21613,TAL1_MOUSE
21614,MRP_MOUSE
21615,RS3A_MOUSE
21616,MEU23_SCHPO
21617,GIMA5_RAT
21618,COR1C_HUMAN
21619,NLTP5_ARATH
21620,SCD5_HUMAN
21621,AROD1_ARATH
21622,RAB26_RAT
21623,S22A8_HUMAN
21624,ANGP4_HUMAN
21625,UPAR_HUMAN
21626,XIAP_RAT
21627,YIQ9_SCHPO
21628,HV353_HUMAN
21629,ELK1_MOUSE
21630,HYEP_RAT
21631,COX2_RAT
21632,CLC4K_MOUSE
21633,CKL4_ARATH
21634,PRS6B_DICDI
21635,YFH9_SCHPO
21636,PRGC1_RAT
21637,CP24A_RAT
21638,KPYK_DROME
21639,HOP_HUMAN
21640,GSTK1_RAT
21641,HRH4_HUMAN
21642,RN125_MOUSE
21643,AP4M1_HUMAN
21644,COPE_MOUSE
21645,EIF3B_EMENI
21646,MECA_STRT2
21647,E2F4_HUMAN
21648,RCL1_MOUSE
21649,ANGL4_RAT
21650,RAB1B_MOUSE
21651,AL1L2_MOUSE
21652,CAD16_HUMAN
21653,NPC5_ARATH
21654,HPPD_RAT
21655,R10A3_ARATH
21656,OR2L3_HUMAN
21657,DMS2_PHYBI
21658,FOXP2_MOUSE
21659,U17PB_MOUSE
21660,LEC_LITSE
21661,YIAW_ECOLI
21662,PSA7_DICDI
21663,SC6A9_HUMAN
21664,TOR3A_HUMAN
21665,PLSI_CHICK
21666,PPM1L_HUMAN
21667,OS9_HUMAN
21668,KCNN2_RAT
21669,ATLA1_RAT
21670,TMM88_HUMAN
21671,TRI37_HUMAN
21672,TCF21_HUMAN
21673,14335_ARATH
21674,TPS10_RICCO
21675,GH39_ORYSJ
21676,O6C75_HUMAN
21677,HOMEZ_HUMAN
21678,NAA10_HUMAN
21679,ASTL_MOUSE
21680,TOM70_YEAST
21681,CLC10_MOUSE
21682,DAK_DICDI
21683,PTAFR_HUMAN
21684,ASI1C_DANRE
21685,ERDL1_ARATH
21686,TRI18_MUSCR
21687,NCPR_MOUSE
21688,DESA3_MYCTU
21689,B2CL1_RAT
21690,CDK17_CAEEL
21691,KSG3_ARATH
21692,FQRL1_ARATH
21693,LCK_MOUSE
21694,PTRF_HUMAN
21695,RBOHA_SOLTU
21696,DOK7_MOUSE
21697,MATR3_HUMAN
21698,KCNE1_HUMAN
21699,PHO13_ARATH
21700,COX7C_BOVIN
21701,NEC1_RAT
21702,HS74L_HUMAN
21703,SLIRP_HUMAN
21704,B3GN6_HUMAN
21705,AUR2_ARATH
21706,NDA1_ARATH
21707,GPAT2_MOUSE
21708,ACPM_MOUSE
21709,NHP10_YEAST
21710,VKORL_RAT
21711,TCAM2_HUMAN
21712,DOF17_ARATH
21713,CETN4_MOUSE
21714,RS17B_YEAST
21715,AGP1_YEAST
21716,COT1_NEUCR
21717,JPH1_MOUSE
21718,KLF5_HUMAN
21719,RTG1_YEAST
21720,EBF1_ARATH
21721,EDNRB_MOUSE
21722,TPA_RAT
21723,PDGFA_HUMAN
21724,FTSI1_ARATH
21725,VAMP4_HUMAN
21726,IMT2_SCHPO
21727,FDM1_ARATH
21728,PNP_MYCTU
21729,KTAP2_MOUSE
21730,EGON_DROME
21731,KAPS_EMENI
21732,GALE_BIFL2
21733,GRP1_RAT
21734,UB2E3_HUMAN
21735,RK_BOVIN
21736,BAAT_MOUSE
21737,CDA2_YEAST
21738,NMS_HUMAN
21739,SH24A_HUMAN
21740,GCST_ARATH
21741,ACDH_ECOLI
21742,IF1C_ORYSJ
21743,IF1C_ORYSI
21744,YB64_SCHPO
21745,TRXH4_ARATH
21746,GRIK5_HUMAN
21747,BOI_ARATH
21748,RT34_BOVIN
21749,PRPC_CUPNE
21750,SPL10_ARATH
21751,HYALP_HUMAN
21752,LYAG_HUMAN
21753,TGM2_HUMAN
21754,RAB25_MOUSE
21755,ZN207_HUMAN
21756,ATG9A_RAT
21757,SFB2_YEAST
21758,CHZ1_YEAST
21759,CP2F2_RAT
21760,CLC4C_HUMAN
21761,MAM3_ARATH
21762,KAPA_YEAST
21763,ATPF2_MOUSE
21764,PUB6_ARATH
21765,S27A5_MOUSE
21766,ERF3A_HUMAN
21767,STP1_YEAST
21768,EAF3_DROME
21769,DCTP1_HUMAN
21770,RERG_HUMAN
21771,P2Y12_RAT
21772,MIXL1_MOUSE
21773,EIF3D_HUMAN
21774,SHSA5_MOUSE
21775,XAPB_ECOLI
21776,NDUAD_HUMAN
21777,CKB11_ARATH
21778,GRN_MOUSE
21779,SP3_HUMAN
21780,DNJC2_RAT
21781,KLRA4_MOUSE
21782,PE2R4_RAT
21783,PCDB3_HUMAN
21784,CAV3_RAT
21785,PSD3_ARATH
21786,GGT5_MOUSE
21787,CD36_RAT
21788,PHT14_ARATH
21789,H12_MOUSE
21790,MODU_DROME
21791,FOXA2_DANRE
21792,TESK1_RAT
21793,MAP3_SCHPO
21794,HSP7E_DROME
21795,CAPR1_RAT
21796,CCD53_HUMAN
21797,SYT5_HUMAN
21798,BCN92_DROME
21799,PLGF_RAT
21800,UD3A2_HUMAN
21801,TRI36_HUMAN
21802,FAEB1_ASPOR
21803,PALB_EMENI
21804,SCNNB_NEOFS
21805,SODM_PSEAE
21806,NIFU4_ARATH
21807,YGR4_SCHPO
21808,MK07_RAT
21809,RSSA_DROME
21810,RN152_HUMAN
21811,MIGA1_MOUSE
21812,BSND_RAT
21813,SUT1_ORYSJ
21814,PK1IP_MOUSE
21815,DCUP_DANRE
21816,CNGA1_BOVIN
21817,KAD7_HUMAN
21818,EFNA2_MOUSE
21819,RS6_MOUSE
21820,MAP6_MOUSE
21821,PMP1_YEAST
21822,FLIH_ECOLI
21823,DJB11_MOUSE
21824,C76M6_ORYSJ
21825,ERG16_ARATH
21826,ZNT4_MOUSE
21827,COF1A_XENLA
21828,C1D_MOUSE
21829,LAB_DROME
21830,RTCB_MYCTU
21831,RNF13_HUMAN
21832,FA72C_HUMAN
21833,1A15_ARATH
21834,LOL2A_DANRE
21835,ROB_ECOLI
21836,LCB2B_ARATH
21837,RL3A_SCHPO
21838,PSA7_SCHPO
21839,TRIM2_RAT
21840,BRK_AMICA
21841,CP2H1_CHICK
21842,RPW82_ARATH
21843,PPARG_HUMAN
21844,IGLL1_HUMAN
21845,RL11_MOUSE
21846,FCL_HUMAN
21847,CDK1_EMENI
21848,NKG2D_RAT
21849,LEF1_MOUSE
21850,ETV6_HUMAN
21851,DOXA_STRS5
21852,WDR13_MOUSE
21853,AIR2_YEAST
21854,ADAM7_RAT
21855,USF2_HUMAN
21856,XGCA_EMENI
21857,CIPKE_ARATH
21858,SMAD2_DANRE
21859,OR94A_DROME
21860,ERF87_ARATH
21861,TM109_RABIT
21862,DCP1A_HUMAN
21863,GAB2_RAT
21864,LARP7_DANRE
21865,GSG1L_MOUSE
21866,NOE2_MOUSE
21867,KV53_BUNCI
21868,FUBP1_MOUSE
21869,SA1B2_ARATH
21870,HHP2_SCHPO
21871,YJH2_SCHPO
21872,HMCS_YEAST
21873,FZD9_HUMAN
21874,MS84B_DROME
21875,GYS1_RAT
21876,BGBP1_MANSE
21877,FGOP2_HUMAN
21878,RIM1_SCHPO
21879,EYA1_HUMAN
21880,BBS2_MOUSE
21881,GAL7_ECOLI
21882,DOG1_YEAST
21883,CCA22_ARATH
21884,SPRE2_HUMAN
21885,ERD2A_ARATH
21886,2B13_HUMAN
21887,TPT1L_HUMAN
21888,TF3C2_HUMAN
21889,RL43B_YEAST
21890,VATC1_MOUSE
21891,NDUA5_BOVIN
21892,P85A_HUMAN
21893,S6A12_RAT
21894,RGMA_HUMAN
21895,CD27_MOUSE
21896,OCT4_ARATH
21897,KKCC2_HUMAN
21898,K1KB4_MOUSE
21899,IF4F2_YEAST
21900,SIZ1_ORYSJ
21901,VPU_HV1BR
21902,PGES2_MOUSE
21903,DAL82_YEAST
21904,KAN1_ARATH
21905,RHS3_ARATH
21906,CYC_CANAL
21907,TEAD2_MOUSE
21908,MSRB2_ARATH
21909,UGPA_HUMAN
21910,LUL4_ARATH
21911,RHO1_DROME
21912,MOB1_DROME
21913,LYRIC_RAT
21914,RS9B_SCHPO
21915,GILT_HUMAN
21916,NDX1_SOLLC
21917,FIBG_RAT
21918,LMO4_HUMAN
21919,TTLL3_HUMAN
21920,IF5A1_MOUSE
21921,SAA1_HUMAN
21922,PABA_BACSU
21923,SPT10_YEAST
21924,KHDR3_HUMAN
21925,RORB_HUMAN
21926,PMT2_CANAL
21927,ITPK2_ARATH
21928,U119A_HUMAN
21929,HIS7_CANGA
21930,IF5A2_SCHPO
21931,TERF2_MOUSE
21932,AARE_ARATH
21933,SX18A_XENLA
21934,ASI4B_DANRE
21935,PPLA_HUMAN
21936,ECHP_RAT
21937,K1H1_HUMAN
21938,HYCCI_MOUSE
21939,TIM21_HUMAN
21940,PICAL_RAT
21941,SQSTM_RAT
21942,CRLK1_ARATH
21943,CIAO1_HUMAN
21944,SCL31_ARATH
21945,BRD2_HUMAN
21946,MIF_HUMAN
21947,UB2G1_RAT
21948,NCED9_ARATH
21949,MED30_MOUSE
21950,FFAR3_HUMAN
21951,RL5_YEAST
21952,EF1A2_TRYB2
21953,BH011_ARATH
21954,POTI_ECOLI
21955,CCA11_ARATH
21956,MA1C1_HUMAN
21957,PRPD2_CORGL
21958,TAF5_DROME
21959,CH60B_ARATH
21960,TMN4_ARATH
21961,GALT1_HUMAN
21962,SADA_DICDI
21963,C71AP_ARATH
21964,NELL1_RAT
21965,TKPR1_ARATH
21966,TRXO1_ARATH
21967,ASK1_SCHPO
21968,TBB4_CHICK
21969,IRX_CAEEL
21970,SNAI3_MOUSE
21971,TSN12_MOUSE
21972,CRGE_MOUSE
21973,RAB7B_PAROT
21974,RS23A_YEAST
21975,RT14_BOVIN
21976,U74G1_STERE
21977,PULR_MENPI
21978,ATS5_HUMAN
21979,FIB12_BPPH2
21980,WDR44_RAT
21981,MOD5_MOUSE
21982,GLGC_MYCTU
21983,OCRL_MOUSE
21984,EXT3_DROME
21985,DNLI1_SCHPO
